analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
TPP1,4_minus_3,0.0,2.9103830456733704e-11,1.1708055223737444e-08,True,0.6329907183675111,2.5094060539039584,36,False
CRIM1,4_minus_3,0.0,2.9103830456733704e-11,1.1708055223737444e-08,True,1.0913633651954502,2.442112149125906,36,False
FLT4,4_minus_3,0.0,2.9103830456733704e-11,1.1708055223737444e-08,True,0.5742893659936388,1.8466233505546867,36,False
FURIN,4_minus_3,0.0,2.9103830456733704e-11,1.1708055223737444e-08,True,0.539793914843014,2.6552669872857244,36,False
NECTIN4,4_minus_3,0.0,2.9103830456733704e-11,1.1708055223737444e-08,True,0.9680991145353667,2.7255567041654314,36,False
SGSH,4_minus_3,0.0,2.9103830456733704e-11,1.1708055223737444e-08,True,0.7031342727732663,2.00823930980744,36,False
SPP1,4_minus_3,0.0,2.9103830456733704e-11,1.1708055223737444e-08,True,0.5896003559180966,38.62661456913211,36,False
SIGLEC6,4_minus_3,1.0,5.820766091346741e-11,2.0489096641540527e-08,True,1.174358035479301,2.5144479376705164,36,False
SDC1,4_minus_3,2.0,8.731149137020111e-11,2.4586915969848635e-08,True,0.7888288465221185,1.8690108729086279,36,False
CCL15,4_minus_3,2.0,8.731149137020111e-11,2.4586915969848635e-08,True,0.5548427418159237,4.087527947512015,36,False
COL1A1,4_minus_3,3.0,1.4551915228366852e-10,3.725290298461914e-08,True,0.7355083823091465,38.854789460948,36,False
LMOD1,4_minus_3,4.0,2.0372681319713593e-10,4.413036199716421e-08,True,0.9660034169533784,39.72855444827978,36,False
HSPB6,4_minus_3,4.0,2.0372681319713593e-10,4.413036199716421e-08,True,0.7704521914954242,3.1205047863507414,36,False
GDF15,4_minus_3,5.0,2.9103830456733704e-10,5.8540276118687225e-08,True,0.9931205310368701,2.8867565091978085,36,False
KDR,4_minus_3,7.0,5.529727786779404e-10,1.0381142298380534e-07,True,-0.23965351271577082,-35.32815530899053,36,False
ERBB2,4_minus_3,8.0,7.275957614183426e-10,1.0783735074495014e-07,True,0.3373849505482329,3.11457962714639,36,False
NPTX2,4_minus_3,8.0,7.275957614183426e-10,1.0783735074495014e-07,True,0.46745147345085886,38.047903763762335,36,False
PSAP,4_minus_3,8.0,7.275957614183426e-10,1.0783735074495014e-07,True,0.3828111055582526,2.414823568463097,36,False
CSF1R,4_minus_3,8.0,7.275957614183426e-10,1.0783735074495014e-07,True,0.41753860467576115,1.8927782126517694,36,False
BCAT1,4_minus_3,9.0,9.604264050722122e-10,1.1758959811666737e-07,True,0.5581138997977062,38.41235197823523,36,False
INSL4,4_minus_3,9.0,9.604264050722122e-10,1.1758959811666737e-07,True,0.6345677514256569,2.241520356840288,36,False
SIL1,4_minus_3,9.0,9.604264050722122e-10,1.1758959811666737e-07,True,0.40179186685623336,2.2830474866114434,36,False
LGALS3BP,4_minus_3,9.0,9.604264050722122e-10,1.1758959811666737e-07,True,0.4400858759591808,2.068713493185602,36,False
CREG1,4_minus_3,10.0,1.2514647096395493e-09,1.4096498489379881e-07,True,0.3848949843225832,2.5860580018752723,36,False
DDR1,4_minus_3,10.0,1.2514647096395493e-09,1.4096498489379881e-07,True,0.42334005103344297,1.5041105195035964,36,False
Timepoint,4_minus_3,0.0,1.9731752900753887e-09,1.9782576067694303e-07,True,1.0,1.0995356735509143,36,False
KRT19,4_minus_3,12.0,2.0372681319713593e-09,1.9782576067694303e-07,True,1.0492445151549934,39.403614653134,36,False
IL1RL1,4_minus_3,12.0,2.0372681319713593e-09,1.9782576067694303e-07,True,1.286917249313567,40.33627194657494,36,False
FOLR1,4_minus_3,12.0,2.0372681319713593e-09,1.9782576067694303e-07,True,0.40619242433623437,2.2547716844533787,36,False
CSTB,4_minus_3,13.0,2.561137080192566e-09,2.3265038767168597e-07,True,0.6087776290538285,38.661371894211854,36,False
DHPS,4_minus_3,13.0,2.561137080192566e-09,2.3265038767168597e-07,True,0.8063410171001795,3.0072347074088666,36,False
SERPINE1,4_minus_3,14.0,3.2014213502407074e-09,2.7318795522054035e-07,True,0.5864768909458824,3.5924043350150705,36,False
PLAU,4_minus_3,14.0,3.2014213502407074e-09,2.7318795522054035e-07,True,0.602891916538177,2.380740571029047,36,False
CSH1,4_minus_3,15.0,3.987224772572517e-09,3.034601340422759e-07,True,0.33713645290158056,1.266925711516159,36,False
TNFRSF1A,4_minus_3,15.0,3.987224772572517e-09,3.034601340422759e-07,True,0.3800561482626088,6.0561299133272115,36,False
IL1R1,4_minus_3,15.0,3.987224772572517e-09,3.034601340422759e-07,True,0.4019210846774214,3.130962514772604,36,False
CCN4,4_minus_3,15.0,3.987224772572517e-09,3.034601340422759e-07,True,0.48150112088693836,3.127223782115299,36,False
PRTG,4_minus_3,16.0,4.918547347187996e-09,3.462657332420349e-07,True,0.5642731806566503,1.9007645492556078,36,False
EDA2R,4_minus_3,16.0,4.918547347187996e-09,3.462657332420349e-07,True,0.5631081636052393,38.52448606681066,36,False
RNASE4,4_minus_3,16.0,4.918547347187996e-09,3.462657332420349e-07,True,0.3404609199666775,3.986117020634758,36,False
ASAH1,4_minus_3,17.0,6.024492904543877e-09,4.0392790521894183e-07,True,0.44839363748124683,2.6560494701762614,36,False
RELT,4_minus_3,17.0,6.024492904543877e-09,4.0392790521894183e-07,True,0.47359954204865107,38.34257218643369,36,False
SPINK1,4_minus_3,18.0,7.363269105553627e-09,4.6077701780531145e-07,True,0.3463364075256053,1.5783604714638753,36,False
NCS1,4_minus_3,18.0,7.363269105553627e-09,4.6077701780531145e-07,True,0.374199801525945,38.098232660739555,36,False
WFDC2,4_minus_3,18.0,7.363269105553627e-09,4.6077701780531145e-07,True,0.44713501425520474,38.388786785577544,36,False
FSTL3,4_minus_3,19.0,8.934875950217247e-09,5.469697973002559e-07,True,0.5636802884694742,38.638578081629475,36,False
VWA1,4_minus_3,20.0,1.0797521099448204e-08,6.205269268580846e-07,True,0.5303776158105393,2.0117990234144187,36,False
NUCB2,4_minus_3,20.0,1.0797521099448204e-08,6.205269268580846e-07,True,0.46522627563673485,4.921051568892636,36,False
GM2A,4_minus_3,20.0,1.0797521099448204e-08,6.205269268580846e-07,True,0.4507019100719149,3.783647411323224,36,False
SCRG1,4_minus_3,21.0,1.3009412214159966e-08,6.784167554643419e-07,True,0.5006936462768108,38.576263177073024,36,False
PRSS8,4_minus_3,21.0,1.3009412214159966e-08,6.784167554643419e-07,True,0.4447834245781085,2.183177329979148,36,False
TACSTD2,4_minus_3,21.0,1.3009412214159966e-08,6.784167554643419e-07,True,0.3539439730561231,7.205976823918589,36,False
PRAP1,4_minus_3,21.0,1.3009412214159966e-08,6.784167554643419e-07,True,0.36694398027992825,2.6818663486022007,36,False
HAVCR1,4_minus_3,21.0,1.3009412214159966e-08,6.784167554643419e-07,True,0.34151276268533104,2.3157540631022533,36,False
IGFBPL1,4_minus_3,22.0,1.5599653124809265e-08,7.70677599990577e-07,True,0.5755397617133704,2.6130582870422794,36,False
CD248,4_minus_3,22.0,1.5599653124809265e-08,7.70677599990577e-07,True,0.5467994151502726,38.49571326339433,36,False
ITGA5,4_minus_3,22.0,1.5599653124809265e-08,7.70677599990577e-07,True,0.324862128759987,4.520365948895033,36,False
GUCA2A,4_minus_3,23.0,1.862645149230957e-08,8.890184305481992e-07,True,0.37911970123211036,37.17897862076466,36,False
IGF2R,4_minus_3,23.0,1.862645149230957e-08,8.890184305481992e-07,True,0.25238272977009935,2.8566020813085964,36,False
DTNB,4_minus_3,24.0,2.2177118808031082e-08,1.0072704284421859e-06,True,0.5422420260371295,2.399545279048927,36,False
MYL3,4_minus_3,24.0,2.2177118808031082e-08,1.0072704284421859e-06,True,0.7668012279898748,39.303076686643536,36,False
TNFRSF11B,4_minus_3,24.0,2.2177118808031082e-08,1.0072704284421859e-06,True,0.38921778656386896,1.9070497266465172,36,False
IGFBP4,4_minus_3,25.0,2.6309862732887268e-08,1.13982420701247e-06,True,0.6505861968895794,2.957299682406418,36,False
IGDCC4,4_minus_3,25.0,2.6309862732887268e-08,1.13982420701247e-06,True,0.2908619177905105,3.019448514398966,36,False
WIF1,4_minus_3,25.0,2.6309862732887268e-08,1.13982420701247e-06,True,0.41714278271741523,37.862273791041176,36,False
NRP2,4_minus_3,26.0,3.111199475824833e-08,1.327445109685262e-06,True,0.3868808537757902,38.128315768636924,36,False
CLEC11A,4_minus_3,28.0,4.316098056733608e-08,1.7614684243133103e-06,True,0.6036159016551637,5.842127720750883,36,False
FBLN2,4_minus_3,28.0,4.316098056733608e-08,1.7614684243133103e-06,True,0.7432334949141999,5.297645860216653,36,False
CD300LF,4_minus_3,28.0,4.316098056733608e-08,1.7614684243133103e-06,True,0.27138349841279885,36.81967646187692,36,False
ADAMTSL2,4_minus_3,29.0,5.061156116425991e-08,2.0360308034079418e-06,True,0.48616827511754285,38.286486716259944,36,False
