analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
FOLR1,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.32943220608183144,35.15981414775816,39,False
GDF15,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.9437615202158967,38.18296826100424,39,False
FLT4,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.8036009849562031,38.57425843828276,39,False
FBN2,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.7582121023662816,37.87831491623897,39,False
STC2,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,-1.1787792743295313,-39.252647241067685,39,False
DPEP2,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.8026487348068383,38.51496975861194,39,False
DLK1,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,1.1984533337506518,38.79621200639882,39,False
GRN,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.9086667695519439,38.775924390179,39,False
DDR1,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.8011099376773435,38.123732526697374,39,False
TGFB1,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.8894195641982959,38.40248235711633,39,False
CSH1,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.9749951613573609,38.20560759637502,39,False
CSF2RA,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.7286735986525363,37.80369360542845,39,False
CSF1R,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.7375990689644606,38.13903258446122,39,False
CD274,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.7339232744006907,38.1038716389481,39,False
C1QTNF6,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.6393622300325047,37.6266216427911,39,False
TFPI2,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.4406503984167574,36.716594146628935,39,False
SGSH,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,1.101702211053595,39.08656298961566,39,False
SPINT1,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,1.1172423030087082,39.00270397672444,39,False
NECTIN4,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.8880931802904348,37.45373752019338,39,False
NRCAM,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.7978444573784956,37.714628951975946,39,False
MAN1A2,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.538401391839099,37.803636909499645,39,False
PLAU,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.4947534927190282,37.07917515053038,39,False
IGSF3,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,1.4625938874057438,38.99903626210021,39,False
INSL4,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,0.9946885612514456,38.379789110781324,39,False
SDC1,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,1.4387302912532722,39.052033062144005,39,False
SEMA7A,3_minus_2,0.0,3.637978807091713e-12,3.9402108926039475e-10,True,1.0715733292778358,38.83204737088624,39,False
TREML2,3_minus_2,1.0,7.275957614183426e-12,7.317534514835902e-10,True,0.5934051457128082,38.503771246680614,39,False
PCDH7,3_minus_2,1.0,7.275957614183426e-12,7.317534514835902e-10,True,0.6848713310001505,37.63856857127279,39,False
PLXNB2,3_minus_2,2.0,1.0913936421275139e-11,9.604264050722122e-10,True,0.48895116524963145,36.23218878511096,39,False
SIL1,3_minus_2,2.0,1.0913936421275139e-11,9.604264050722122e-10,True,0.4987715990739082,37.1575950492395,39,False
TINAGL1,3_minus_2,2.0,1.0913936421275139e-11,9.604264050722122e-10,True,0.5217942935940529,37.8811562028058,39,False
FURIN,3_minus_2,2.0,1.0913936421275139e-11,9.604264050722122e-10,True,0.5366211830962367,35.06049449302219,39,False
HGFAC,3_minus_2,3.0,1.8189894035458565e-11,1.5065512236426859e-09,True,-0.3998980605588038,-37.410634950614245,39,False
PTPRF,3_minus_2,3.0,1.8189894035458565e-11,1.5065512236426859e-09,True,0.5789971905241422,37.40991788745903,39,False
ALPP,3_minus_2,4.0,2.546585164964199e-11,1.938157790415996e-09,True,1.375673258984936,38.92052477517308,39,False
ASAH1,3_minus_2,4.0,2.546585164964199e-11,1.938157790415996e-09,True,0.6603546974369809,37.331471720201876,39,False
ERVV-1,3_minus_2,5.0,3.637978807091713e-11,2.561137080192566e-09,True,0.5613933394600189,37.39271028398452,39,False
CDCP1,3_minus_2,5.0,3.637978807091713e-11,2.561137080192566e-09,True,0.3859976991503986,36.58762032584894,39,False
FAM171B,3_minus_2,5.0,3.637978807091713e-11,2.561137080192566e-09,True,0.615759291490521,37.742300940048075,39,False
CREG1,3_minus_2,6.0,5.093170329928398e-11,3.4981384509947244e-09,True,0.3676308603342427,33.37393719575338,39,False
PRTG,3_minus_2,7.0,6.912159733474255e-11,4.526660885921744e-09,True,0.5448248524270562,37.5190214524184,39,False
CRLF1,3_minus_2,7.0,6.912159733474255e-11,4.526660885921744e-09,True,-0.5766427008172909,-38.09061916493045,39,False
IL1RL2,3_minus_2,9.0,1.2005330063402653e-10,7.683411240577698e-09,True,-0.459299202306808,-38.03863063985962,39,False
AFP,3_minus_2,10.0,1.5643308870494366e-10,9.789235062069363e-09,True,0.25340734160527795,36.630452306574576,39,False
DBH,3_minus_2,11.0,2.000888343900442e-10,1.1738544950882595e-08,True,-0.40513506772192853,-34.9229242319057,39,False
PDCD1LG2,3_minus_2,11.0,2.000888343900442e-10,1.1738544950882595e-08,True,0.345181901527018,37.79721400382028,39,False
CD8A,3_minus_2,12.0,2.546585164964199e-10,1.4342367649078368e-08,True,-0.44179634743556884,-37.41936487671538,39,False
PSAP,3_minus_2,12.0,2.546585164964199e-10,1.4342367649078368e-08,True,0.3098946436695656,36.442288852456684,39,False
CA6,3_minus_2,13.0,3.2014213502407074e-10,1.7009816079769492e-08,True,0.8870813834254201,38.63384148655197,39,False
TREH,3_minus_2,13.0,3.2014213502407074e-10,1.7009816079769492e-08,True,0.49201274585102683,2.663103405050958,39,False
IGSF9,3_minus_2,13.0,3.2014213502407074e-10,1.7009816079769492e-08,True,0.6938154038109768,33.44252962746341,39,False
Timepoint,3_minus_2,0.0,4.2380554260794433e-10,2.169884378152675e-08,True,1.0,1.222392421336448,39,False
ANGPT2,3_minus_2,15.0,4.984030965715647e-10,2.5062555713312966e-08,True,-0.2977064823208556,-37.41110686162357,39,False
IL1R1,3_minus_2,16.0,6.148184183984995e-10,2.9850494245003014e-08,True,0.2995693902422218,36.62889108562834,39,False
ENPP2,3_minus_2,16.0,6.148184183984995e-10,2.9850494245003014e-08,True,0.2872831815852231,36.752865702469336,39,False
OLR1,3_minus_2,18.0,9.204086381942034e-10,4.3930012290760623e-08,True,0.7388110925108312,37.06230791295625,39,False
KIT,3_minus_2,20.0,1.3496901374310255e-09,6.230700700009455e-08,True,-0.28938195611229234,-36.5487660655485,39,False
VWA1,3_minus_2,22.0,1.949956640601158e-09,8.715996666560097e-08,True,0.46032997599388636,35.747897517336334,39,False
PGF,3_minus_2,22.0,1.949956640601158e-09,8.715996666560097e-08,True,1.1952315173178438,39.828993895032134,39,False
RET,3_minus_2,23.0,2.3283064365386963e-09,1.0086939885066106e-07,True,0.2540000058463387,36.181025184373134,39,False
HSPB6,3_minus_2,23.0,2.3283064365386963e-09,1.0086939885066106e-07,True,0.42844664977239255,36.62410942087419,39,False
IGF2R,3_minus_2,25.0,3.2887328416109085e-09,1.361922306172988e-07,True,0.1525204486658086,36.06617103019494,39,False
ST3GAL1,3_minus_2,25.0,3.2887328416109085e-09,1.361922306172988e-07,True,0.3251550188583209,36.013273598194324,39,False
GUSB,3_minus_2,26.0,3.888999344781041e-09,1.587162631145422e-07,True,0.46003574023802346,36.647320707935805,39,False
CXCL13,3_minus_2,27.0,4.58749127574265e-09,1.7942188100682364e-07,True,-0.5694295124996606,-38.50575407659799,39,False
CLEC1A,3_minus_2,27.0,4.58749127574265e-09,1.7942188100682364e-07,True,0.5016899624940192,36.407527541917695,39,False
S100P,3_minus_2,27.0,4.58749127574265e-09,1.7942188100682364e-07,True,0.4636501422249867,37.17833895005028,39,False
INHBC,3_minus_2,28.0,5.39512257091701e-09,2.0811870081783973e-07,True,0.4925549753031672,35.70745943503313,39,False
PRG2,3_minus_2,29.0,6.326445145532489e-09,2.407468855381012e-07,True,-0.1981837008059929,-2.9595192804536112,39,False
ARTN,3_minus_2,30.0,7.403286872431636e-09,2.779687444368998e-07,True,0.6980198744405572,37.76859613848947,39,False
CCL15,3_minus_2,31.0,8.640199666842818e-09,3.2014213502407074e-07,True,0.39427908788073573,37.490303616910126,39,False
FUCA1,3_minus_2,32.0,1.0059011401608586e-08,3.67872416973114e-07,True,0.34269378682874785,37.606134694143236,39,False
C1QA,3_minus_2,34.0,1.355147105641663e-08,4.653773474984053e-07,True,0.24780235579673046,36.29550712168856,39,False
EPHB4,3_minus_2,34.0,1.355147105641663e-08,4.653773474984053e-07,True,0.28336551715128633,36.587741870494554,39,False
ADM,3_minus_2,34.0,1.355147105641663e-08,4.653773474984053e-07,True,0.2685302009220763,36.966360000044034,39,False
KIAA0319,3_minus_2,35.0,1.5679688658565283e-08,5.25642895982379e-07,True,0.4423254945173918,2.2945510217271656,39,False
SUSD4,3_minus_2,35.0,1.5679688658565283e-08,5.25642895982379e-07,True,0.400196068138023,34.559663438125,39,False
OBP2B,3_minus_2,36.0,1.8109858501702547e-08,5.86176569434418e-07,True,0.5852765426019315,38.18600254802927,39,False
BTN1A1,3_minus_2,36.0,1.8109858501702547e-08,5.86176569434418e-07,True,1.3309129781076399,39.22063252201811,39,False
CBLN4,3_minus_2,36.0,1.8109858501702547e-08,5.86176569434418e-07,True,-0.31333696511963827,-35.72569342841657,39,False
CSF2RB,3_minus_2,38.0,2.401793608441949e-08,7.59938292289048e-07,True,0.7077845748967606,37.88836225263809,39,False
CSF3R,3_minus_2,38.0,2.401793608441949e-08,7.59938292289048e-07,True,1.2716517083630074,38.73310226779396,39,False
LYPD3,3_minus_2,39.0,2.759043127298355e-08,7.847944895426432e-07,True,0.4154890356171977,36.950848338289475,39,False
DAG1,3_minus_2,39.0,2.759043127298355e-08,7.847944895426432e-07,True,0.6566024000352209,36.880966787079686,39,False
TFF3,3_minus_2,39.0,2.759043127298355e-08,7.847944895426432e-07,True,0.5572707314743285,37.131818355294754,39,False
TFF2,3_minus_2,39.0,2.759043127298355e-08,7.847944895426432e-07,True,1.183665370176325,39.12554115686768,39,False
CRIM1,3_minus_2,39.0,2.759043127298355e-08,7.847944895426432e-07,True,0.789068728664822,37.88267323102362,39,False
LGMN,3_minus_2,39.0,2.759043127298355e-08,7.847944895426432e-07,True,0.5327160900416645,33.73161627860307,39,False
PRSS8,3_minus_2,39.0,2.759043127298355e-08,7.847944895426432e-07,True,0.6551212909435866,37.098521602792076,39,False
TPP1,3_minus_2,39.0,2.759043127298355e-08,7.847944895426432e-07,True,0.6912452984859472,37.5262055046957,39,False
CD200,3_minus_2,39.0,2.759043127298355e-08,7.847944895426432e-07,True,0.6027862243879527,37.35332748045431,39,False
B4GALT1,3_minus_2,39.0,2.759043127298355e-08,7.847944895426432e-07,True,0.336815075911341,36.8349009627954,39,False
ZP3,3_minus_2,40.0,3.1635863706469536e-08,8.733979627197864e-07,True,0.365889261667641,35.09443179223082,39,False
LIFR,3_minus_2,40.0,3.1635863706469536e-08,8.733979627197864e-07,True,0.37222156994813216,37.39677791145825,39,False
