analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
Timepoint,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,1.0,1.222392421336448,13,False
PRTG,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.6112030479774514,36.99631029768171,13,False
PRSS8,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.6140768338840235,36.91299993700277,13,False
CD274,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.6735578441561868,38.711912052835366,13,False
CD46,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.2646901423469283,36.12576130427312,13,False
CD200,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.7134275054011525,37.63696989152622,13,False
PLXNB2,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.3933304920437359,35.49612300727362,13,False
NRCAM,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.6575991926645907,38.69356010172487,13,False
NECTIN4,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.8417581991772317,37.70493050031507,13,False
CRH,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,3.388045608236857,41.0247233281405,13,False
PLAU,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.3814308669904696,36.533582962286964,13,False
CRHBP,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.3685873981870269,37.122233366851454,13,False
PTPRF,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.5442833470863466,38.243988379694756,13,False
ALPP,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,1.7236703961353268,39.438733607867654,13,False
TINAGL1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.6965129712047368,38.26767142265973,13,False
ARSB,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.4236363967900696,36.90244888875681,13,False
STC2,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,-1.3494111485447482,-38.81472784218541,13,False
CCL15,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.3408412622644127,37.945800185516624,13,False
SPINT1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,1.105267015018588,38.13962999215133,13,False
SIGLEC6,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,1.539149848074862,38.385118400757584,13,False
SGSH,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,1.0807743576255862,38.54673757844589,13,False
SEMA7A,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.8496433194920924,37.12392442403721,13,False
SDC1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,1.3355481099584352,39.97800811048772,13,False
B4GALT1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.3691904477141425,37.36303906488179,13,False
TPP1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.554365890437766,34.33869902543896,13,False
CRIM1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.7733028225802372,37.86546757297339,13,False
CSF1R,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.662739594102642,35.45642075313521,13,False
IL24,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.4731147434911621,37.33369090211996,13,False
IGSF3,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,1.303893347340764,38.5257965517284,13,False
ERVV-1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.7072193410046537,37.42244064012611,13,False
FAM171B,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.44396790501643485,37.855454708073864,13,False
FBN2,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.7922668111517501,37.82378447027774,13,False
GRN,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.9649388212018906,39.01157866582653,13,False
IL4R,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.575297895974771,37.17022954883352,13,False
GPR37,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.5382334223828696,36.79472292546178,13,False
GH1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,-0.2990796349578529,-36.083055099130455,13,False
FURIN,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.5707919315141166,37.08158690915838,13,False
GDF15,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,1.027896031403621,36.587999318752594,13,False
FLT4,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.7316088311992641,38.33201187119226,13,False
CRTAM,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,-0.41942273392794777,-36.59805905790036,13,False
INHBC,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.47737245100450754,36.51112871653392,13,False
DTNB,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.3923560206858417,36.100279756489556,13,False
CSF2RA,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.8333311216577237,38.411492682724024,13,False
CSF2RB,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.8503856280420736,38.480681863899015,13,False
CSF3R,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.9612754901450806,38.11933371259012,13,False
CSH1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,1.1199575503556396,38.114471330405394,13,False
MAN1A2,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.6389330851722829,37.90575504357938,13,False
DAG1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.7735882866307915,37.69612532011147,13,False
INSL4,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,1.0370307848788316,37.42655135416396,13,False
LYPD3,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.4691058618954615,35.95722150578375,13,False
LRIG1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.2953545987658534,34.13627505151934,13,False
LRCH4,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.4686135204689431,36.63718057261246,13,False
LGMN,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.5413966238076198,36.03459085473886,13,False
DLK1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,1.351466024248821,38.56075613992447,13,False
DPEP2,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.6368396904423562,37.27935544301578,13,False
DDR1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.9228531953479687,37.91675861928763,13,False
TREML2,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.6209890250809182,38.86477519680173,13,False
PCDH7,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.8782122851546661,38.0853058258627,13,False
VWA1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.6616333405556711,38.18489389372596,13,False
ADAMTSL4,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.44394957717557987,36.643064788604086,13,False
ACVRL1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.45564473519890536,37.471252284651406,13,False
ADM,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.2243311305839707,35.8252265565779,13,False
VSIR,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.5085923876414037,37.4014555378124,13,False
AFP,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.4189467943996536,37.74857175680145,13,False
VMO1,3_minus_2,0.0,0.000244140625,0.00870253164556962,True,0.5578947311620887,36.9729508389578,13,False
ALPI,3_minus_2,1.0,0.00048828125,0.0125,True,1.3581475025136682,37.64476898568403,13,False
SPRR3,3_minus_2,1.0,0.00048828125,0.0125,True,1.0278433535357587,37.10747086924504,13,False
FGFR4,3_minus_2,1.0,0.00048828125,0.0125,True,-0.44850396958300653,-37.74685441367435,13,False
IGFBP4,3_minus_2,1.0,0.00048828125,0.0125,True,0.4609011944823554,36.598818219208916,13,False
CD22,3_minus_2,1.0,0.00048828125,0.0125,True,-0.3566789943476438,-36.65403099541792,13,False
PDCD1,3_minus_2,1.0,0.00048828125,0.0125,True,-0.3418366955714632,-34.969967314972166,13,False
IL1R1,3_minus_2,1.0,0.00048828125,0.0125,True,0.36314487827976283,37.48223693821679,13,False
ASGR1,3_minus_2,1.0,0.00048828125,0.0125,True,0.2496632050055933,36.45633402788469,13,False
VEGFD,3_minus_2,1.0,0.00048828125,0.0125,True,-0.2658970171263609,-35.06008596083562,13,False
PSAP,3_minus_2,1.0,0.00048828125,0.0125,True,0.3693299998029824,36.14630388511614,13,False
ANGPTL4,3_minus_2,1.0,0.00048828125,0.0125,True,0.1815658647122596,34.674278997711255,13,False
CA14,3_minus_2,1.0,0.00048828125,0.0125,True,-0.207915683814482,-34.46990401909649,13,False
THPO,3_minus_2,1.0,0.00048828125,0.0125,True,0.4849368468509364,37.693234402585304,13,False
PIGR,3_minus_2,1.0,0.00048828125,0.0125,True,0.1501506991103403,36.596221438644015,13,False
CD79B,3_minus_2,1.0,0.00048828125,0.0125,True,-0.30592484819309007,-37.72280199577825,13,False
CCL22,3_minus_2,1.0,0.00048828125,0.0125,True,-0.2839062924024121,-36.5272946072219,13,False
LGALS3BP,3_minus_2,1.0,0.00048828125,0.0125,True,0.4142800759327612,36.545737190339956,13,False
TFF3,3_minus_2,1.0,0.00048828125,0.0125,True,0.7185689047606002,37.714662367362244,13,False
KRT18,3_minus_2,1.0,0.00048828125,0.0125,True,0.6655214416086008,36.92970590335329,13,False
DBH,3_minus_2,1.0,0.00048828125,0.0125,True,-0.4022445826991857,-38.207335467838895,13,False
LGALS7_LGALS7B,3_minus_2,1.0,0.00048828125,0.0125,True,-0.1607073257269821,-36.01049640524506,13,False
KIT,3_minus_2,1.0,0.00048828125,0.0125,True,-0.3856361190100291,-36.2959087842857,13,False
PRELP,3_minus_2,1.0,0.00048828125,0.0125,True,-0.1245842115850439,-33.9729502883395,13,False
TFF2,3_minus_2,1.0,0.00048828125,0.0125,True,1.3532167004532323,39.77359371105065,13,False
LY9,3_minus_2,1.0,0.00048828125,0.0125,True,-0.3432839443788506,-36.4793341776983,13,False
SIL1,3_minus_2,1.0,0.00048828125,0.0125,True,0.4821465621422415,37.1014459712435,13,False
PSCA,3_minus_2,2.0,0.000732421875,0.01690573770491803,True,0.5099668856591546,37.796159729957104,13,False
IGFBP7,3_minus_2,2.0,0.000732421875,0.01690573770491803,True,-0.2364690033387117,-35.28800117577338,13,False
NECTIN2,3_minus_2,2.0,0.000732421875,0.01690573770491803,True,0.2708329139069147,37.12556203078214,13,False
CRLF1,3_minus_2,2.0,0.000732421875,0.01690573770491803,True,-0.4471176984794763,-37.49985315897221,13,False
SOD2,3_minus_2,2.0,0.000732421875,0.01690573770491803,True,-0.23625505783762257,-36.734392086497486,13,False
KLK1,3_minus_2,2.0,0.000732421875,0.01690573770491803,True,-0.24089136531190786,-0.8184114940547409,13,False
PRSS22,3_minus_2,2.0,0.000732421875,0.01690573770491803,True,0.6487625697020588,37.81685095022491,13,False
ERBB3,3_minus_2,2.0,0.000732421875,0.01690573770491803,True,0.1662233763240378,35.24867726790649,13,False
CEMIP2,3_minus_2,2.0,0.000732421875,0.01690573770491803,True,0.4560638314012673,37.065429497178215,13,False
ANGPT2,3_minus_2,2.0,0.000732421875,0.01690573770491803,True,-0.3129554616668493,-35.89508024603988,13,False
WFIKKN2,3_minus_2,3.0,0.001220703125,0.021756329113924052,True,-0.1501058773576708,-34.99596553635171,13,False
