,analyte_ID,n_patients_affected,median_MAD_score,percentile_99_MAD_score,max_MAD_score,patient_with_max
428,MTDH,5,3.2176845595261225,4.428194494842306,4.431055199721085,DP3-0163
158,CXCL6,5,3.2710504888712513,3.8411981311201666,3.8569792947173336,DP3-0165
93,CD2,5,3.3445596234198445,4.604523179660119,4.643829314027831,DP3-0399
99,CD6,6,3.3657717887768035,4.511273704797903,4.558083534498781,DP3-0071
139,COMT,8,3.479475874950248,5.103146184147194,5.16807763027917,DP3-0091E
545,PRTFDC1,8,3.501971506727232,4.429126495929993,4.437736508577844,DP3-0233
77,CAMSAP1,7,3.505350703182201,4.176853802955006,4.187249814879359,DP3-0233
125,CIRBP,13,3.505352611148358,4.812338381658275,4.862696824310973,DP3-0091E
208,ECHS1,5,3.508658405392518,4.314422474130257,4.315395455804383,DP3-0389
281,GIT1,6,3.513638103204061,4.611239894564549,4.629254442553203,DP3-0423
214,EHD3,5,3.5136734247251837,4.235653310390355,4.261130259443735,DP3-0423
713,TREM2,6,3.516599816190454,4.2374501189527285,4.260421121290623,DP3-0409
417,MITD1,5,3.5242407314626556,4.466455339570252,4.475125037609894,DP3-0423
584,ROBO1,6,3.5257701411272717,4.080077937531481,4.092672213106161,DP3-0163
661,STX3,5,3.526115962253144,4.17724801308554,4.201593603599627,DP3-0358
219,EIF4B,8,3.5276835555760346,4.657968836591356,4.67393359444449,DP3-0423
574,RGS10,8,3.530225655722035,4.1543079716959115,4.165388658991029,DP3-0423
169,DCTD,11,3.5354842690130863,5.189090573529278,5.2285079606707985,DP3-0423
88,CCL16,5,3.5362224652487884,5.202181210413465,5.205206138468221,DP3-0265
62,BRAP,9,3.5421662914028795,4.81109615793058,4.8618706191051775,DP3-0091E
31,AREG,5,3.5545552490516883,4.7274476100451315,4.737525349345694,DP3-0375
560,RAB33A,8,3.5591848186061665,4.547454613475189,4.602489763460549,DP3-0233
612,SERPINB9,12,3.56025380231831,4.680380858362899,4.697392480707917,DP3-0423
374,LAT,6,3.5602906507223953,4.969146948383895,5.037645688554315,DP3-0423
149,CRYBB1,9,3.5613756677226056,6.145357333108923,6.165210962561264,DP3-0423
633,SMAD1,8,3.56753780596933,5.2612293337218095,5.270236016951424,DP3-0398
264,FYB1,6,3.567918822693578,4.665477604748426,4.698452304740348,DP3-0423
559,RAB2B,8,3.568719385708814,5.1417701605782264,5.2042703505371115,DP3-0091E
340,IL18RAP,7,3.5689638886414436,4.677061432245848,4.718462831378932,DP3-0038
164,DAPP1,7,3.5720614184420585,4.288661897187442,4.300881462728714,DP3-0423
609,SERPINA9,6,3.576341802221668,6.35992076506234,6.47790293151755,DP3-0163
100,CD69,7,3.584826542767086,4.053461927169032,4.057956066336926,DP3-0423
232,ERC2,5,3.5942910158745476,7.078229861092542,7.209063437384456,DP3-0311
441,NAA80,9,3.5999872386584353,5.094914390237581,5.12199771630114,DP3-0423
432,MTSS1,7,3.6011210173565775,4.158733193603189,4.160770723463674,DP3-0375
543,PRR4,5,3.6020952927221677,5.496948007637967,5.553578938182441,DP3-0409
398,MANF,9,3.60341314741829,4.334252052813187,4.340819408661224,DP3-0423
524,PNLIPRP1,5,3.605004057077056,4.830132836652725,4.875369920378516,DP3-0333
476,OPHN1,9,3.6147875410969137,5.150487236692286,5.2007201493992,DP3-0423
470,NUDC,9,3.625430239742729,4.973156927475852,5.0032934951849555,DP3-0423
416,MINK1,7,3.626396639261365,4.717867447302868,4.761890222261915,DP3-0423
167,DBN1,8,3.626843515293074,4.580729431304156,4.631123358813243,DP3-0091E
196,DPY30,5,3.627882130183053,9.137730959394132,9.333489802047293,DP3-0163
752,VSTM2L,5,3.628022038085185,5.543117871450645,5.612808713804669,DP3-0374
638,SNAP23,6,3.628360349899611,4.203997024487492,4.215236963524667,DP3-0423
176,DEFA1_DEFA1B,5,3.630611099323614,3.977595535428706,3.979864966218728,DP3-0038
136,COL4A1,5,3.6306350176083626,4.077563060355794,4.077768443862727,DP3-0265
39,ARHGEF12,10,3.6377148741083856,4.371725937890693,4.37752982324529,DP3-0091E
81,CASP3,8,3.6423213368019915,4.763802554912336,4.767040617663248,DP3-0091E
221,EIF4G1,5,3.643362254343963,4.149293865411662,4.153475565357606,DP3-0423
